Rank,grid_id,Predicted_Crime_Count,Actual_Crime_Count,Is_Highlighted
1,9717,82.57057,77,True
2,10227,72.95813,78,True
3,10855,65.02811,67,True
4,10226,49.090057,41,True
5,9969,48.852776,34,True
6,10479,48.569027,56,True
7,10857,45.167847,50,True
8,9342,44.916927,39,True
9,10221,44.595955,39,True
10,9645,43.806614,44,True
11,9341,43.341755,29,True
12,10478,42.20359,23,True
13,10097,41.960915,34,True
14,10296,39.915733,36,True
15,10607,39.592842,22,True
16,10353,39.292686,37,True
17,10100,39.037655,45,True
18,10099,38.74577,58,True
19,10856,38.68359,26,True
20,10089,38.183678,31,True
21,9971,37.860374,35,True
22,9221,36.007088,30,True
23,10606,35.729767,29,True
24,9970,35.27851,45,True
25,10476,35.048317,45,True
26,9844,33.205246,19,True
27,10615,32.9449,42,True
28,10730,32.748848,42,True
29,10477,32.63566,32,True
30,10604,32.493305,38,True
31,9962,31.388203,32,True
32,9586,30.533709,25,True
33,11288,28.927782,23,True
34,13283,28.66428,31,True
35,10224,28.48663,18,True
36,10218,28.398775,24,True
37,10729,28.163248,32,True
38,11289,27.960041,20,True
39,9068,27.69518,45,True
40,10351,27.574326,22,True
41,10222,27.00543,16,True
42,9518,26.41282,22,True
43,10228,26.360918,35,True
44,10090,26.247614,14,True
45,9464,25.823263,27,True
46,10233,25.626154,23,True
47,11054,25.417398,20,True
48,13029,25.067385,17,True
49,12874,24.948593,36,True
50,9466,24.778576,22,True
51,11053,24.77007,23,True
52,10225,24.507292,22,True
53,9379,23.958696,15,True
54,10605,23.840374,15,True
55,10550,23.80583,21,True
56,10219,23.779345,16,True
57,10352,23.769716,27,True
58,15686,23.718355,25,True
59,7315,23.341053,30,True
60,10742,22.25597,14,True
61,10088,22.106842,13,True
62,10168,21.980253,29,True
63,9065,21.437391,31,True
64,10849,21.420938,15,True
65,12716,21.354185,24,True
66,9454,21.329758,27,True
67,11394,21.048597,21,True
68,12250,20.795618,19,True
69,10480,20.626787,24,True
70,9222,20.413992,11,True
71,10678,20.388733,23,True
72,12272,20.21018,32,True
73,10087,19.691893,21,True
74,10698,19.600668,28,True
75,9843,19.487549,13,True
76,9834,19.118334,17,True
77,979,19.04166,23,True
78,10734,19.016478,15,True
79,10746,18.75094,19,True
80,10732,18.651127,18,True
81,12902,18.56645,18,True
82,10608,18.54054,19,True
83,9219,18.535236,25,True
84,10946,18.434675,10,False
85,11528,18.368929,4,False
86,4178,18.047304,22,False
87,10953,17.86651,27,False
88,9128,17.788437,9,False
89,9598,17.71257,17,False
90,10086,17.47978,25,False
91,9587,17.428854,18,False
92,13030,17.049238,9,False
93,14223,16.956198,20,False
94,9455,16.941946,11,False
95,10354,16.823175,33,False
